Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
31977-57439,QB,Patrick,Patrick Mahomes,Mahomes,26.81749916,16,16500,NE@KC,KC,NE,,,
31977-6498,QB,Tom,Tom Brady,Brady,18.23749924,16,15500,NE@KC,NE,KC,,,
31977-53681,WR,Tyreek,Tyreek Hill,Hill,18.15625,16,15000,NE@KC,KC,NE,,,
31977-7859,WR,Julian,Julian Edelman,Edelman,14.20166651,12,14500,NE@KC,NE,KC,,,
31977-28930,RB,James,James White,White,14.56875038,16,14000,NE@KC,NE,KC,,,
31977-53640,RB,Sony,Sony Michel,Michel,10.4307697,13,13500,NE@KC,NE,KC,,,
31977-27441,RB,Damien,Damien Williams,Williams,8.709999847,10,13000,NE@KC,KC,NE,,,
31977-33076,TE,Travis,Travis Kelce,Kelce,15.19375038,16,12500,NE@KC,KC,NE,,,
31977-7900,K,Stephen,Stephen Gostkowski,Gostkowski,8.625,16,9500,NE@KC,NE,KC,,,
31977-25813,WR,Phillip,Phillip Dorsett,Dorsett,5.99090923,11,9000,NE@KC,NE,KC,,,
31977-31459,RB,Spencer,Spencer Ware,Ware,6.272727273,11,9000,NE@KC,KC,NE,Q,Hamstring,
31977-41642,K,Harrison,Harrison Butker,Butker,9.1875,16,8500,NE@KC,KC,NE,,,
31977-24641,WR,Sammy,Sammy Watkins,Watkins,9.509999847,10,8000,NE@KC,KC,NE,,,
31977-27338,RB,Rex,Rex Burkhead,Burkhead,5.337500095,8,8000,NE@KC,NE,KC,,,
31977-11460,TE,Rob,Rob Gronkowski,Gronkowski,8.28461515,13,7500,NE@KC,NE,KC,,,
31977-14704,WR,Chris,Chris Hogan,Hogan,5.91333313,15,7500,NE@KC,NE,KC,,,
31977-52897,RB,Darrel,Darrel Williams,Williams,4.866666794,3,7000,NE@KC,KC,NE,,,
31977-30733,WR,Cordarrelle,Cordarrelle Patterson,Patterson,5.733333333,15,6500,NE@KC,NE,KC,,,
31977-38264,WR,Demarcus,Demarcus Robinson,Robinson,4.557142803,14,5500,NE@KC,KC,NE,,,
31977-30403,WR,Chris,Chris Conley,Conley,5.026666768,15,5000,NE@KC,KC,NE,,,
31977-24929,WR,Kelvin,Kelvin Benjamin,Benjamin,3.766666667,15,5000,NE@KC,KC,NE,,,
31977-12872,RB,James,James Develin,Develin,2.635714395,14,4500,NE@KC,NE,KC,,,
